Tieks;EMS;NbJeunesNPrec;NbJeunesPrec;TSort;ID_IRIS;LIB_IRIS_INSEE;ID_COM;LIB_COM;LIB_COUR;ID_QPV;LIB_QPV
Total QPV de Strasbourg;Total QPV de Strasbourg;8858,44341900;1661,780239000;18,759280390;NA;NA;NA;NA;NA;NA;NA
Ampère ;Musau;220,87754980;83,422968310;37,768876190;674822201;Port du Rhin Centre Ouest;67482;Strasbourg;Strasbourg;QP067019;Ampère
Cité de l'Ill ;Anguille;86,51247393;15,071746400;17,421471980;674822002;Cité de l'Ill Est;67482;Strasbourg;Strasbourg;QP067017;Cité de l'Ill
Cité de l'Ill ;Schwilgué;205,50288280;53,898891050;26,227802890;674822001;Cité de l'Ill Ouest;67482;Strasbourg;Strasbourg;QP067017;Cité de l'Ill
Cronenbourg ;Becquerel;30,29995681;8,003249143;26,413401160;674821803;Cronenbourg Ouest Nord-Ouest;67482;Strasbourg;Strasbourg;QP067013;Cronenbourg
Cronenbourg ;Bergerie;316,04713950;44,450159940;14,064408240;674821804;Cronenbourg Ouest Est;67482;Strasbourg;Strasbourg;QP067013;Cronenbourg
Cronenbourg ;Haldenbourg;135,06806490;55,234436860;40,893779650;674821805;Cronenbourg Ouest Ouest;67482;Strasbourg;Strasbourg;QP067013;Cronenbourg
Cronenbourg ;Kepler;187,71422370;36,349618310;19,364338830;674821802;Cronenbourg Ouest Nord-Est;67482;Strasbourg;Strasbourg;QP067013;Cronenbourg
Elsau ;Oberelsau;264,23445310;77,628655390;29,378703080;674821302;Elsau Ouest;67482;Strasbourg;Strasbourg;QP067014;Elsau
Elsau ;Unterelsau;245,81881030;44,090164330;17,936041700;674821301;Elsau Centre;67482;Strasbourg;Strasbourg;QP067014;Elsau
Guirbaden;Guirbaden;220,33111830;31,787901090;14,427331620;670430102;Est;67043;Bischheim;Première couronne;QP067005;Guirbaden
Hautepierre ;Brigitte-Denise;193,86775260;23,302228260;12,019651510;674821705;Hautepierre Centre;67482;Strasbourg;Strasbourg;QP067011;Hautepierre
Hautepierre ;Catherine;287,96631750;62,688073420;21,769238140;674821702;Hautepierre Nord-Est;67482;Strasbourg;Strasbourg;QP067011;Hautepierre
Hautepierre ;Eléonore;356,05145960;69,423304420;19,498109760;674821704;Hautepierre Sud Est;67482;Strasbourg;Strasbourg;QP067011;Hautepierre
Hautepierre ;Jacqueline;246,52244130;48,042061080;19,487905770;674821701;Hautepierre Ouest;67482;Strasbourg;Strasbourg;QP067011;Hautepierre
Hautepierre ;Karine;371,43720530;44,084960510;11,868751940;674821703;Hautepierre Nord;67482;Strasbourg;Strasbourg;QP067011;Hautepierre
Hohberg;Hohberg;329,48245420;54,624175790;16,578781390;674821601;Koenigshoffen Ouest Centre-Ouest;67482;Strasbourg;Strasbourg;QP067009;Hohberg
Koenigshoffen-Est ;Charmille;317,33763610;39,850327520;12,557706050;674821502;Koenigshoffen Est Est;67482;Strasbourg;Strasbourg;QP067012;Koenigshoffen-Est
Koenigshoffen-Est ;St-Joseph;320,53755980;24,142749210;7,531956388;674821501;Koenigshoffen Est Ouest;67482;Strasbourg;Strasbourg;QP067012;Koenigshoffen-Est
Laiterie;Laiterie;349,78699930;26,407340080;7,549548764;674820301;Gare Sud-Ouest;67482;Strasbourg;Strasbourg;QP067015;Laiterie
Libermann ;Roseaux;191,53291540;11,764257320;6,142159583;672180302;Centre Sud;67218;Illkirch-Graffenstaden;Première couronne;QP067006;Libermann
Marais;Marais;201,00929350;24,328548440;12,103195840;674470102;Est;67447;Schiltigheim;Première couronne;QP067008;Marais
Molkenbronn ;Roethig;487,18488230;49,190239820;10,096832150;674821403;Montagne Verte Centre Ouest;67482;Strasbourg;Strasbourg;QP067010;Molkenbronn
Murhof ;Elmerforst;161,02548520;61,577633730;38,240924190;674821401;Montagne Verte Sud-Est;67482;Strasbourg;Strasbourg;QP067021;Murhof
Neuhof-Meinau ;Guynemer;244,31724560;83,540521230;34,193460650;674822801;Polygone Est;67482;Strasbourg;Strasbourg;QP067016;Neuhof-Meinau
Neuhof-Meinau ;Hautefort;176,61194810;107,153832600;60,671904560;674822802;Polygone Sud;67482;Strasbourg;Strasbourg;QP067016;Neuhof-Meinau
Neuhof-Meinau ;Ile-de-France;231,59586980;20,059131750;8,661264888;674822602;Canardière 2;67482;Strasbourg;Strasbourg;QP067016;Neuhof-Meinau
Neuhof-Meinau ;Marschallhof;262,87849070;99,155657840;37,719197780;674822901;Neuhof Nord;67482;Strasbourg;Strasbourg;QP067016;Neuhof-Meinau
Neuhof-Meinau ;Provence;207,84959150;22,013794580;10,591213780;674822703;Canardière 4;67482;Strasbourg;Strasbourg;QP067016;Neuhof-Meinau
Neuhof-Meinau ;Schulmeister;201,99356570;93,006945190;46,044508820;674822702;Canardière 3;67482;Strasbourg;Strasbourg;QP067016;Neuhof-Meinau
Neuhof-Meinau ;Ziegelwasser;212,79654840;38,262380400;17,980733570;674822804;Polygone Ouest;67482;Strasbourg;Strasbourg;QP067016;Neuhof-Meinau
Port du Rhin ;Pont de l'Europe;257,19292980;57,551626010;22,376830530;NA;NA;NA;NA;NA;NA;NA
QPV Lingolsheim ;Tiergartel;193,07833240;26,026682910;13,479856900;672670202;Centre Est;67267;Lingolsheim;Première couronne;QP067007;QPV Lingolsheim
Quartiers Ouest ;Christ-Roi;153,39881080;21,833611460;14,233233850;670430203;Centre 2;67043;Bischheim;Première couronne;QP067004;Quartiers Ouest
Quartiers Ouest ;Ecrivains;233,76955470;46,673412470;19,965565030;674470401;Centre Nord 2;67447;Schiltigheim;Première couronne;QP067004;Quartiers Ouest
Quartiers Ouest ;Lamartine;220,98093570;27,619396180;12,498542500;670430204;Sud;67043;Bischheim;Première couronne;QP067004;Quartiers Ouest
Quartiers Ouest ;Seguin;182,70638170;20,337683460;11,131348160;670430202;Ouest;67043;Bischheim;Première couronne;QP067004;Quartiers Ouest
Spach;Spach;353,12413870;9,181872944;2,600182751;674820901;Vauban Sud;67482;Strasbourg;Strasbourg;QP067018;Spach
